cohort,simulator,entry_index,exit_index,entry_time_api,exit_time_api,entry_time_actual_utc,exit_time_actual_utc,raw_episode_id,entry_price,exit_price,tp_distance,sl_distance,exit_reason,same_bar_both_hit,gross_price,spread_points,spread_observed,extra_cost_points,gross_r,net_r,stress_r,risk_mult,risk_guard_reasons,risk_budget,account_pnl,balance_before,balance_after,positive,trade_id,episode_trade_ordinal,entry_kind,score_fold,source_entry_index,candidate_id
S4_CONFIRMATION,S5,924464,924475,2020-08-17T04:22:00,2020-08-17T04:33:00,2020-08-17T04:22:00,2020-08-17T04:33:00,990,1935.75,1937.7148571428572,1.9648571428571295,2.418285714285698,take_profit,False,1.9648571428572268,34.0,True,5.0,0.7123472135902563,0.5709550445411566,0.5528278433810156,0.5,live_post_loss_cap;live_rolling_pf,5.733282977884979,3.2734468380053734,819.0404254121398,822.3138722501452,True,S5_000378,1,primary,1,2177815,S4_CONFIRMATION
S4_CONFIRMATION,S5,924476,924485,2020-08-17T04:34:00,2020-08-17T04:43:00,2020-08-17T04:34:00,2020-08-17T04:43:00,992,1937.44,1938.94,1.5,1.798857142857144,take_profit,False,1.5,31.0,True,5.0,0.7112857336404278,0.5405771575667252,0.5168676331120441,0.5,live_post_loss_cap;live_rolling_pf,5.756197105751016,3.111668669820695,822.3138722501452,825.4255409199659,True,S5_000379,0,primary,1,2177827,S4_CONFIRMATION
S4_CONFIRMATION,S5,924486,924493,2020-08-17T04:44:00,2020-08-17T04:51:00,2020-08-17T04:44:00,2020-08-17T04:51:00,992,1938.68,1940.18,1.5,1.5085714285713818,take_profit,False,1.5,26.0,True,5.0,0.8481421647819287,0.6728594507269967,0.6445880452342659,0.5,live_post_loss_cap;live_rolling_pf,5.777978786439761,3.887767632556097,825.4255409199659,829.313308552522,True,S5_000380,1,primary,1,2177837,S4_CONFIRMATION
S4_CONFIRMATION,S5,925829,925830,2020-08-18T04:08:00,2020-08-18T04:09:00,2020-08-18T04:08:00,2020-08-18T04:09:00,993,1988.62,1990.2552142857141,1.6352142857143186,2.012571428571469,take_profit,False,1.6352142857142553,23.0,True,5.0,0.7291693209325762,0.6043126512931339,0.5820168174289478,0.5,live_rolling_pf,5.805193159867654,3.508151669708388,829.313308552522,832.8214602222304,True,S5_000381,0,primary,1,2179180,S4_CONFIRMATION
S4_CONFIRMATION,S5,925831,925833,2020-08-18T04:10:00,2020-08-18T04:12:00,2020-08-18T04:10:00,2020-08-18T04:12:00,993,1989.77,1987.7174285714286,1.6677142857143104,2.052571428571459,stop_loss,False,-2.0525714285713548,23.0,True,5.0,-0.8992364501188691,-1.0219051195393207,-1.043810239078687,0.5,live_rolling_pf,5.829750221555613,-5.95745159704317,832.8214602222304,826.8640086251872,False,S5_000382,1,primary,1,2179182,S4_CONFIRMATION
S4_CONFIRMATION,S5,925871,925876,2020-08-18T04:50:00,2020-08-18T04:55:00,2020-08-18T04:50:00,2020-08-18T04:55:00,995,1994.45,1992.6568571428572,1.5,1.7931428571428374,stop_loss,False,-1.7931428571428114,23.0,True,5.0,-0.8863154921621099,-1.0247140234430039,-1.0494280468860206,0.5,live_post_loss_cap;live_rolling_pf,5.788048060376311,-5.931094015829684,826.8640086251872,820.9329146093576,False,S5_000383,0,primary,1,2179222,S4_CONFIRMATION
S4_CONFIRMATION,S5,926612,926625,2020-08-18T17:11:00,2020-08-18T17:24:00,2020-08-18T17:11:00,2020-08-18T17:24:00,999,1996.2,1992.1417142857144,3.297357142857079,4.058285714285636,stop_loss,False,-4.058285714285603,23.0,True,5.0,-0.9463655140249096,-1.0116596708641408,-1.023319341728289,0.5,live_rolling_pf,5.7465304022655035,-5.8135330553666975,820.9329146093576,815.1193815539908,False,S5_000384,0,primary,1,2179963,S4_CONFIRMATION
S4_CONFIRMATION,S5,927201,927202,2020-08-19T04:01:00,2020-08-19T04:02:00,2020-08-19T04:01:00,2020-08-19T04:02:00,1001,1999.81,2001.31,1.5,1.541714285714313,take_profit,False,1.5,31.0,True,5.0,0.8100601758987691,0.6156457336830646,0.5886437278197721,0.5,live_rolling_pf,5.705835670877936,3.512773387872648,815.1193815539908,818.6321549418635,True,S5_000385,0,primary,1,2180552,S4_CONFIRMATION
S4_CONFIRMATION,S5,927203,927207,2020-08-19T04:03:00,2020-08-19T04:07:00,2020-08-19T04:03:00,2020-08-19T04:07:00,1001,2001.3,2002.8,1.5,1.6571428571428832,take_profit,False,1.5,36.0,True,5.0,0.7436260623229366,0.5403682719546672,0.5155807365439027,0.5,live_rolling_pf,5.730425084593045,3.096539900527221,818.6321549418635,821.7286948423907,True,S5_000386,1,primary,1,2180554,S4_CONFIRMATION
S4_CONFIRMATION,S5,927208,927209,2020-08-19T04:08:00,2020-08-19T04:09:00,2020-08-19T04:08:00,2020-08-19T04:09:00,1003,2002.77,2004.27,1.5,1.8400000000000678,take_profit,False,1.5,36.0,True,5.0,0.6818181818181609,0.49545454545453016,0.4727272727272582,0.5,live_rolling_pf,5.752100863896735,2.849904518930567,821.7286948423907,824.5785993613213,True,S5_000387,0,primary,1,2180559,S4_CONFIRMATION
S4_CONFIRMATION,S5,927210,927210,2020-08-19T04:10:00,2020-08-19T04:10:00,2020-08-19T04:10:00,2020-08-19T04:10:00,1003,2002.77,2004.4405,1.6705000000000432,2.0560000000000533,take_profit,False,1.6704999999999472,32.0,True,5.0,0.7030723905723526,0.5473484848484503,0.5263047138046798,0.5,live_rolling_pf,5.772050195529249,3.159322928992136,824.5785993613213,827.7379222903133,True,S5_000388,1,primary,1,2180561,S4_CONFIRMATION
S4_CONFIRMATION,S5,927211,927214,2020-08-19T04:11:00,2020-08-19T04:14:00,2020-08-19T04:11:00,2020-08-19T04:14:00,1003,2003.89,2001.6465714285714,1.8227857142857666,2.2434285714286357,stop_loss,False,-2.2434285714286943,27.0,True,5.0,-0.8925770148914663,-1.0198931453904967,-1.0397862907809703,0.5,live_rolling_pf,5.794165456032194,-5.909429631865636,827.7379222903133,821.8284926584477,False,S5_000389,2,primary,1,2180562,S4_CONFIRMATION
S4_CONFIRMATION,S5,927234,927235,2020-08-19T04:34:00,2020-08-19T04:35:00,2020-08-19T04:34:00,2020-08-19T04:35:00,1004,1997.01,1998.532857142857,1.522857142857088,1.874285714285647,take_profit,False,1.5228571428569921,23.0,True,5.0,0.7236931432450295,0.5906313645620653,0.5668703326543931,0.5,live_post_loss_cap;live_rolling_pf,5.752799448609133,3.3977837883839093,821.8284926584477,825.2262764468315,True,S5_000390,0,primary,1,2180585,S4_CONFIRMATION
S4_CONFIRMATION,S5,927248,927256,2020-08-19T04:48:00,2020-08-19T04:56:00,2020-08-19T04:48:00,2020-08-19T04:56:00,1005,1998.75,1996.606,1.7419999999999782,2.143999999999973,stop_loss,False,-2.1440000000000055,25.0,True,5.0,-0.895572263993329,-1.0208855472013503,-1.0417710944026874,0.5,live_post_loss_cap;live_rolling_pf,5.776583935127821,-5.897231051567495,825.2262764468315,819.3290453952641,False,S5_000391,0,primary,1,2180599,S4_CONFIRMATION
S4_CONFIRMATION,S5,927484,927489,2020-08-19T08:44:00,2020-08-19T08:49:00,2020-08-19T08:44:00,2020-08-19T08:49:00,1008,1987.63,1985.6608571428571,1.5999285714285942,1.9691428571428853,stop_loss,False,-1.9691428571429697,23.0,True,5.0,-0.8954137975835138,-1.0227361309601526,-1.0454722619202665,0.5,live_rolling_pf,5.735303317766848,-5.865701925095793,819.3290453952641,813.4633434701683,False,S5_000392,0,primary,1,2180835,S4_CONFIRMATION
S4_CONFIRMATION,S5,927511,927513,2020-08-19T09:11:00,2020-08-19T09:13:00,2020-08-19T09:11:00,2020-08-19T09:13:00,1011,1990.4,1988.064,1.8979999999999841,2.3359999999999803,stop_loss,False,-2.3360000000000127,23.0,True,5.0,-0.9103663289166136,-1.019485580670317,-1.038971161340621,0.5,live_post_loss_cap;live_rolling_pf,5.6942434042911785,-5.805199043501914,813.4633434701683,807.6581444266664,False,S5_000393,0,primary,1,2180862,S4_CONFIRMATION
S4_CONFIRMATION,S5,928513,928515,2020-08-20T02:54:00,2020-08-20T02:56:00,2020-08-20T02:54:00,2020-08-20T02:56:00,1019,1926.93,1928.43,1.5,1.7805714285714462,take_profit,False,1.5,26.0,True,5.0,0.7350882105852639,0.5831699803976427,0.5586670400448006,0.5,live_rolling_pf,5.653607010986665,3.2970138897730688,807.6581444266664,810.9551583164395,True,S5_000394,0,primary,1,2181864,S4_CONFIRMATION
S4_CONFIRMATION,S5,928520,928521,2020-08-20T03:01:00,2020-08-20T03:02:00,2020-08-20T03:01:00,2020-08-20T03:02:00,1020,1925.36,1926.868,1.508000000000001,1.856000000000001,take_profit,False,1.5080000000000382,23.0,True,5.0,0.722914669223412,0.588686481303949,0.5647171620326162,0.5,live_rolling_pf,5.676686108215076,3.341788370512141,810.9551583164395,814.2969466869516,True,S5_000395,0,primary,1,2181871,S4_CONFIRMATION
S4_CONFIRMATION,S5,928526,928537,2020-08-20T03:07:00,2020-08-20T03:18:00,2020-08-20T03:07:00,2020-08-20T03:18:00,1021,1928.89,1926.651142857143,1.8190714285714633,2.2388571428571855,stop_loss,False,-2.238857142857114,24.0,True,5.0,-0.9031811894882164,-1.0201705855232535,-1.0403411710465358,0.5,live_rolling_pf,5.700078626808661,-5.815052550239975,814.2969466869516,808.4818941367116,False,S5_000396,0,primary,1,2181877,S4_CONFIRMATION
S4_CONFIRMATION,S5,928562,928566,2020-08-20T03:43:00,2020-08-20T03:47:00,2020-08-20T03:43:00,2020-08-20T03:47:00,1022,1936.35,1937.9489999999998,1.5989999999999815,1.9679999999999773,take_profit,False,1.5989999999999327,27.0,True,5.0,0.7144772117962238,0.5714924039320579,0.549151027703282,0.5,live_post_loss_cap;live_rolling_pf,5.659373258956982,3.23428882851013,808.4818941367116,811.7161829652217,True,S5_000397,0,primary,1,2181913,S4_CONFIRMATION
S4_CONFIRMATION,S5,928580,928580,2020-08-20T04:01:00,2020-08-20T04:01:00,2020-08-20T04:01:00,2020-08-20T04:01:00,1023,1946.2,1943.864,1.8979999999999841,2.3359999999999803,stop_loss,False,-2.3360000000000127,23.0,True,5.0,-0.9103663289166136,-1.019485580670317,-1.038971161340621,0.5,live_post_loss_cap;live_rolling_pf,5.682013280756552,-5.7927306089085455,811.7161829652217,805.9234523563132,False,S5_000398,0,primary,1,2181931,S4_CONFIRMATION
S4_CONFIRMATION,S5,928599,928602,2020-08-20T04:20:00,2020-08-20T04:23:00,2020-08-20T04:20:00,2020-08-20T04:23:00,1024,1938.28,1935.9497142857142,1.8933571428571945,2.330285714285778,stop_loss,False,-2.3302857142857647,23.0,True,5.0,-0.9101662760852554,-1.0195290704162425,-1.0390581408324902,0.5,live_post_loss_cap;live_rolling_pf,5.641464166494193,-5.751636717452366,805.9234523563132,800.1718156388608,False,S5_000399,0,primary,1,2181950,S4_CONFIRMATION
S4_CONFIRMATION,S5,928617,928622,2020-08-20T04:38:00,2020-08-20T04:43:00,2020-08-20T04:38:00,2020-08-20T04:43:00,1026,1937.33,1939.8092857142856,2.4792857142857394,3.0514285714286027,take_profit,False,2.479285714285652,23.0,True,5.0,0.7555507183282281,0.6702220287331047,0.6549847627339757,0.5,live_post_loss_cap;live_rolling_pf,5.601202709472026,3.7540494432877036,800.1718156388608,803.9258650821486,True,S5_000400,0,primary,1,2181968,S4_CONFIRMATION
S4_CONFIRMATION,S5,928623,928624,2020-08-20T04:44:00,2020-08-20T04:45:00,2020-08-20T04:44:00,2020-08-20T04:45:00,1026,1938.55,1940.722857142857,2.1728571428571093,2.674285714285673,take_profit,False,2.172857142857083,23.0,True,5.0,0.7481554353172551,0.6517461878996443,0.6345302508607853,0.5,live_post_loss_cap;live_rolling_pf,5.62748105557504,3.667689325448499,803.9258650821486,807.593554407597,True,S5_000401,1,primary,1,2181974,S4_CONFIRMATION
S4_CONFIRMATION,S5,928627,928673,2020-08-20T04:48:00,2020-08-20T05:34:00,2020-08-20T04:48:00,2020-08-20T05:34:00,1027,1940.59,1942.5372142857143,1.9472142857143093,2.3965714285714577,take_profit,False,1.9472142857143808,23.0,True,5.0,0.7413521157402652,0.6347492657457052,0.6157130425323909,0.5,live_post_loss_cap;live_rolling_pf,5.6531548808531795,3.5883359097683054,807.593554407597,811.1818903173653,True,S5_000402,0,primary,1,2181978,S4_CONFIRMATION
S4_CONFIRMATION,S5,930388,930400,2020-08-21T11:10:00,2020-08-21T11:22:00,2020-08-21T11:10:00,2020-08-21T11:22:00,1031,1937.31,1935.2494285714286,1.6742142857142832,2.0605714285714254,stop_loss,False,-2.060571428571393,23.0,True,5.0,-0.8995883747037402,-1.021828614194822,-1.043657228389658,0.5,live_rolling_pf,5.678273232221557,-5.802222067900507,811.1818903173653,805.3796682494648,False,S5_000403,0,primary,1,2183739,S4_CONFIRMATION
S4_CONFIRMATION,S5,931160,931160,2020-08-24T01:04:00,2020-08-24T01:04:00,2020-08-24T01:04:00,2020-08-24T01:04:00,1037,1938.45,1936.904857142857,1.5,1.5451428571428811,stop_loss,False,-1.5451428571429915,23.0,True,5.0,-0.8704329631418634,-1.0281667471431488,-1.0563334942862357,0.5,live_rolling_pf,5.637657677746254,-5.796452156034964,805.3796682494648,799.5832160934298,False,S5_000404,0,primary,1,2184511,S4_CONFIRMATION
S4_CONFIRMATION,S5,931283,931285,2020-08-24T03:07:00,2020-08-24T03:09:00,2020-08-24T03:07:00,2020-08-24T03:09:00,1039,1932.65,1934.15,1.5,1.6514285714286547,take_profit,False,1.5,23.0,True,5.0,0.7972665148063428,0.6484434320424921,0.6218678815489473,0.5,live_rolling_pf,5.5970825126540085,3.6293913939303803,799.5832160934298,803.2126074873602,True,S5_000405,0,primary,1,2184634,S4_CONFIRMATION
S4_CONFIRMATION,S5,931343,931351,2020-08-24T04:07:00,2020-08-24T04:15:00,2020-08-24T04:07:00,2020-08-24T04:15:00,1040,1931.99,1933.4970714285714,1.5070714285714093,1.854857142857119,take_profit,False,1.5070714285714075,31.0,True,5.0,0.6961528309357244,0.5298601029431135,0.5067638907219174,0.5,live_rolling_pf,5.622488252411522,2.979132204219215,803.2126074873602,806.1917396915794,True,S5_000406,0,primary,1,2184694,S4_CONFIRMATION
S4_CONFIRMATION,S5,931352,931395,2020-08-24T04:16:00,2020-08-24T04:59:00,2020-08-24T04:16:00,2020-08-24T04:59:00,1040,1933.49,1935.1512142857143,1.6612142857143164,2.0445714285714662,take_profit,False,1.6612142857143226,23.0,True,5.0,0.7303416656199011,0.6072415525687789,0.5852593895239356,0.5,live_rolling_pf,5.643342177841056,3.4268718657490767,806.1917396915794,809.6186115573284,True,S5_000407,1,primary,1,2184703,S4_CONFIRMATION
S4_CONFIRMATION,S5,934883,934889,2020-08-26T17:09:00,2020-08-26T17:15:00,2020-08-26T17:09:00,2020-08-26T17:15:00,1044,1929.96,1932.703,2.7430000000000394,3.3760000000000483,take_profit,False,2.742999999999938,23.0,True,5.0,0.7606766500277042,0.6830282861896575,0.6691625069328635,0.5,live_rolling_pf,5.667330280901299,3.8709468890347645,809.6186115573284,813.4895584463632,True,S5_000408,0,primary,1,2188234,S4_CONFIRMATION
S4_CONFIRMATION,S5,938053,938057,2020-08-31T01:03:00,2020-08-31T01:07:00,2020-08-31T01:03:00,2020-08-31T01:07:00,1045,1969.77,1971.27,1.5,1.7794285714285902,take_profit,False,1.5,23.0,True,5.0,0.7464808758708873,0.607137779041655,0.5822550831792921,0.5,live_rolling_pf,5.694426909124542,3.4573017065209104,813.4895584463632,816.946860152884,True,S5_000409,0,primary,1,2191404,S4_CONFIRMATION
S4_CONFIRMATION,S5,938059,938060,2020-08-31T01:09:00,2020-08-31T01:10:00,2020-08-31T01:09:00,2020-08-31T01:10:00,1046,1971.01,1972.8504285714287,1.8404285714285868,2.265142857142876,take_profit,False,1.8404285714286743,26.0,True,5.0,0.7288413668251087,0.6060760353021406,0.5862751753790814,0.5,live_rolling_pf,5.718628021070188,3.465923398377946,816.946860152884,820.412783551262,True,S5_000410,0,primary,1,2191410,S4_CONFIRMATION
S4_CONFIRMATION,S5,938063,938065,2020-08-31T01:13:00,2020-08-31T01:15:00,2020-08-31T01:13:00,2020-08-31T01:15:00,1047,1974.03,1971.4311428571427,2.111571428571451,2.5988571428571703,stop_loss,False,-2.5988571428572413,38.0,True,5.0,-0.8724342988682391,-1.0167849606752588,-1.0335699213504936,0.5,live_rolling_pf,5.742889484858834,-5.839283659024547,820.412783551262,814.5734998922375,False,S5_000411,0,primary,1,2191414,S4_CONFIRMATION
S4_CONFIRMATION,S5,938102,938106,2020-08-31T01:52:00,2020-08-31T01:56:00,2020-08-31T01:52:00,2020-08-31T01:56:00,1050,1973.09,1974.59,1.5,1.6468571428571004,take_profit,False,1.5,23.0,True,5.0,0.7992084031055136,0.6500228345258177,0.6233825544223006,0.5,live_post_loss_cap;live_rolling_pf,5.702014499245663,3.7064396273069766,814.5734998922375,818.2799395195444,True,S5_000412,0,primary,1,2191453,S4_CONFIRMATION
S4_CONFIRMATION,S5,940997,940997,2020-09-02T04:09:00,2020-09-02T04:09:00,2020-09-02T04:09:00,2020-09-02T04:09:00,1056,1961.01,1958.768857142857,1.8209285714286467,2.24114285714295,stop_loss,False,-2.241142857142904,23.0,True,5.0,-0.906925656145204,-1.0202335530118898,-1.0404671060237978,0.5,live_rolling_pf,5.727959576636811,-5.8438565503806545,818.2799395195444,812.4360829691637,False,S5_000413,0,primary,1,2194348,S4_CONFIRMATION
