scheme,fold,decile,probability_min,probability_max,observations,realized_wr,mean_r,pf
W1_trailing_24m,2023_2024,9,0.5536074638366699,0.5884615778923035,70802,0.3921640631620576,-0.19152172166063916,0.6975888665924739
W1_trailing_24m,2023_2024,10,0.5884616374969482,0.8106805086135864,70803,0.3960142931796675,-0.17839316030258895,0.715372750928195
W1_trailing_24m,pooled,1,0.04470069706439972,0.28097596764564514,247429,0.3614814754939801,-0.2862418201981565,0.5589489196976459
W1_trailing_24m,pooled,2,0.28097599744796753,0.34353187680244446,247430,0.3715636745746272,-0.2534893176772108,0.610287294346387
W1_trailing_24m,pooled,3,0.34353187680244446,0.38527238368988037,247430,0.3726710584811866,-0.24708282913602592,0.6204792808205419
W1_trailing_24m,pooled,4,0.38527265191078186,0.41942113637924194,247429,0.36579786524619184,-0.25096431484137316,0.6196775478225688
W1_trailing_24m,pooled,5,0.41942116618156433,0.45227351784706116,247430,0.3600331406862547,-0.25005507236090163,0.624743992699075
W1_trailing_24m,pooled,6,0.45227351784706116,0.4861699640750885,247430,0.35315038596774845,-0.2613983948023711,0.6112295163112252
W1_trailing_24m,pooled,7,0.4861699640750885,0.5208353400230408,247429,0.35144223191299323,-0.2652908760718372,0.6057574183523048
W1_trailing_24m,pooled,8,0.5208355784416199,0.559384822845459,247430,0.3489390938851392,-0.2647528214500186,0.606858887608073
W1_trailing_24m,pooled,9,0.559385359287262,0.6155221462249756,247430,0.34475609263225965,-0.27270101366579064,0.5935952415823095
W1_trailing_24m,pooled,10,0.6155228614807129,0.8860716819763184,247430,0.31479610394859153,-0.33006489972580294,0.5125810486241754
W2_trailing_18m,2018_2020,1,0.04557822644710541,0.2080468088388443,105807,0.3586908238585349,-0.3023544460132218,0.5323970696673571
W2_trailing_18m,2018_2020,2,0.20804700255393982,0.27800270915031433,105808,0.35365000756086495,-0.303389329155839,0.5370014314960204
W2_trailing_18m,2018_2020,3,0.2780033051967621,0.34254541993141174,105808,0.3673729774686224,-0.2933561105488033,0.5442220632076541
W2_trailing_18m,2018_2020,4,0.34254562854766846,0.3938719630241394,105808,0.36017125359141083,-0.2927721729217396,0.5520762098651651
W2_trailing_18m,2018_2020,5,0.3938719630241394,0.4404676556587219,105808,0.3476674731589294,-0.30480129001724693,0.5448646469675119
W2_trailing_18m,2018_2020,6,0.44046878814697266,0.4854041635990143,105808,0.3337649327083018,-0.31653620340869604,0.5373667320647139
