scheme,fold,bucket_low,bucket_high,observations,predicted_mean,observed_positive_label_rate,absolute_calibration_error
W3_trailing_12m,2018_2020,0.5,0.6000000000000001,240941,0.5476949457036421,0.2159034784449305,0.33179146725871156
W3_trailing_12m,2018_2020,0.6000000000000001,0.7000000000000001,125390,0.64141292141731,0.24397479862827975,0.39743812278903023
W3_trailing_12m,2018_2020,0.7000000000000001,0.8,35939,0.7364290345855831,0.2974484543253847,0.43898058026019837
W3_trailing_12m,2018_2020,0.8,0.9,2782,0.8231299794422989,0.2092020129403307,0.6139279665019682
W3_trailing_12m,2018_2020,0.9,1.0,0,,,
W3_trailing_12m,2021_2022,0.0,0.1,59,0.08903487999055346,0.2033898305084746,0.11435495051792113
W3_trailing_12m,2021_2022,0.1,0.2,2990,0.16971488466430268,0.14749163879598662,0.02222324586831606
W3_trailing_12m,2021_2022,0.2,0.30000000000000004,24748,0.2659393063828732,0.11604978180054953,0.14988952458232369
W3_trailing_12m,2021_2022,0.30000000000000004,0.4,110578,0.3604171540167766,0.1114869142144007,0.24893023980237589
W3_trailing_12m,2021_2022,0.4,0.5,263715,0.45315920180695624,0.12604895436361224,0.327110247443344
W3_trailing_12m,2021_2022,0.5,0.6000000000000001,221309,0.5438028146480618,0.1511822835944313,0.3926205310536305
W3_trailing_12m,2021_2022,0.6000000000000001,0.7000000000000001,72549,0.6381127679970255,0.17654275041695958,0.461570017580066
W3_trailing_12m,2021_2022,0.7000000000000001,0.8,11826,0.7302605147523443,0.1617622188398444,0.5684982959124999
W3_trailing_12m,2021_2022,0.8,0.9,423,0.8250862519228148,0.2364066193853428,0.588679632537472
W3_trailing_12m,2021_2022,0.9,1.0,0,,,
W3_trailing_12m,2023_2024,0.0,0.1,92,0.09419376791819283,0.03260869565217391,0.06158507226601891
W3_trailing_12m,2023_2024,0.1,0.2,16974,0.16590292857881075,0.08000471309060916,0.08589821548820159
W3_trailing_12m,2023_2024,0.2,0.30000000000000004,56797,0.2603576697071629,0.08542704720319735,0.17493062250396554
W3_trailing_12m,2023_2024,0.30000000000000004,0.4,169237,0.3560132870324078,0.11740931356618234,0.23860397346622547
W3_trailing_12m,2023_2024,0.4,0.5,233468,0.45129600077561655,0.14840577723713744,0.3028902235384791
W3_trailing_12m,2023_2024,0.5,0.6000000000000001,182442,0.5418649147329602,0.17339757292728647,0.3684673418056737
W3_trailing_12m,2023_2024,0.6000000000000001,0.7000000000000001,42635,0.6364070462903734,0.19920253313005745,0.43720451316031594
W3_trailing_12m,2023_2024,0.7000000000000001,0.8,6148,0.7319505479266757,0.2192582953806116,0.5126922525460641
W3_trailing_12m,2023_2024,0.8,0.9,227,0.817559055032184,0.2026431718061674,0.6149158832260165
W3_trailing_12m,2023_2024,0.9,1.0,0,,,
W3_trailing_12m,pooled,0.0,0.1,3473,0.08915846851908299,0.1128707169594011,0.023712248440318107
W3_trailing_12m,pooled,0.1,0.2,99335,0.1632695779799905,0.15633965873055822,0.006929919249432287
W3_trailing_12m,pooled,0.2,0.30000000000000004,220478,0.2548789180620776,0.1437195547855115,0.11115936327656609
W3_trailing_12m,pooled,0.30000000000000004,0.4,464902,0.3557711708266753,0.1319718994540785,0.2237992713725968
W3_trailing_12m,pooled,0.4,0.5,743498,0.45203374562499815,0.15008782807754695,0.3019459175474512
W3_trailing_12m,pooled,0.5,0.6000000000000001,644692,0.5447090142167731,0.18165728751093546,0.36305172670583763
W3_trailing_12m,pooled,0.6000000000000001,0.7000000000000001,240574,0.6395305554237897,0.2157049390208418,0.42382561640294786
W3_trailing_12m,pooled,0.7000000000000001,0.8,53913,0.7345652419654943,0.25876875707157826,0.47579648489391607
