scheme,fold,bucket_low,bucket_high,observations,independent_episodes,executable_trades,realized_wr,mean_r,pf,average_realized_r
W3_trailing_12m,2023_2024,0.6,0.65,29765,9124,2166,0.4455216989843029,-0.11791046557076254,0.7956959664486404,-0.11791046557076254
W3_trailing_12m,pooled,0.6,0.65,158158,38707,8504,0.38299623706491065,-0.22668799675961307,0.6436180316906853,-0.22668799675961307
W3_trailing_12m,2018_2020,0.65,0.7,46369,8868,1770,0.3310734463276836,-0.31461066706882385,0.5297652048711068,-0.31461066706882385
W3_trailing_12m,2021_2022,0.65,0.7,23177,6603,1496,0.3669786096256685,-0.2554584870047487,0.6105558323792195,-0.2554584870047487
W3_trailing_12m,2023_2024,0.65,0.7,12870,4018,929,0.4155005382131324,-0.17723303803609244,0.7060464809256606,-0.17723303803609244
W3_trailing_12m,pooled,0.65,0.7,82416,19489,4195,0.3625744934445769,-0.26309327046637715,0.5950778858106099,-0.26309327046637715
W3_trailing_12m,2018_2020,0.7,0.75,25278,4551,892,0.336322869955157,-0.2963686425394876,0.5432608184074289,-0.2963686425394876
W3_trailing_12m,2021_2022,0.7,0.75,9367,2451,577,0.34488734835355284,-0.29995465039108116,0.557375482302785,-0.29995465039108116
W3_trailing_12m,2023_2024,0.7,0.75,4726,1500,328,0.4420731707317073,-0.13853982066348905,0.7568740218883744,-0.13853982066348905
W3_trailing_12m,pooled,0.7,0.75,39371,8502,1797,0.3583750695603784,-0.2687121444621598,0.5825478202323845,-0.2687121444621598
W3_trailing_12m,2018_2020,0.75,0.8,10661,1902,363,0.2865013774104683,-0.395183130925381,0.41910868883885727,-0.395183130925381
W3_trailing_12m,2021_2022,0.75,0.8,2459,630,161,0.30434782608695654,-0.4175134796794349,0.428294878430174,-0.4175134796794349
W3_trailing_12m,2023_2024,0.75,0.8,1422,454,104,0.4230769230769231,-0.16636243099873477,0.7247607892021337,-0.16636243099873477
W3_trailing_12m,pooled,0.75,0.8,14542,2986,628,0.31369426751592355,-0.36301407576141836,0.4665913499295033,-0.36301407576141836
W3_trailing_12m,2018_2020,0.8,0.85,2547,451,93,0.2903225806451613,-0.39785091892666463,0.40758655729098336,-0.39785091892666463
W3_trailing_12m,2021_2022,0.8,0.85,370,92,26,0.3076923076923077,-0.33982074656199057,0.5334403586614445,-0.33982074656199057
W3_trailing_12m,2023_2024,0.8,0.85,203,77,18,0.2222222222222222,-0.506353126628106,0.3368243794968434,-0.506353126628106
W3_trailing_12m,pooled,0.8,0.85,3120,620,137,0.2846715328467153,-0.40109365802990854,0.4224156480691939,-0.40109365802990854
W3_trailing_12m,2018_2020,0.85,0.9,235,49,12,0.4166666666666667,-0.2988085235348547,0.48038953844133125,-0.2988085235348547
W3_trailing_12m,2021_2022,0.85,0.9,53,17,5,0.4,-0.037644667419614294,0.9410867698872715,-0.037644667419614294
W3_trailing_12m,2023_2024,0.85,0.9,24,5,2,0.0,-1.0595998297147722,0.0,-1.0595998297147722
