candidate_id,parameters,fold,threshold,rsi_policy,raw_qualifying_rows,independent_signal_episodes,eligible_signal_episodes,executable_trades,trades_per_day,robust_trades_per_day,frequency_uplift,wins,losses,tp_first_wr,realized_wr,average_winner_r,average_loser_r,payoff_ratio,break_even_wr,break_even_adjusted_edge,pf,mean_r,pnl,max_dd,tp_count,sl_count,timeout_count,observed_spread_trades,fallback_spread_trades,nominal_cost_result,cost_stress_pf,cost_stress_mean_r,cost_stress_pnl,cost_stress_result,qualification_verdict
T2_R2,"{""threshold"":0.7,""rsi_policy"":""exclude 38–42""}",2021_2022,0.7,R2,311,112,91,41,0.056164383561643834,0.056164383561643834,,10,31,0.24390243902439024,0.24390243902439024,1.532997782446311,-1.0248610854012288,1.4958103144741308,0.40067147499176065,-0.1567690359673704,0.4825194562819777,-0.40099306885304864,-16.440715822974994,-22.423558960229887,10,29,2,41,0,FAIL,0.43761127260474686,-0.4615694846520892,-18.924348870735656,FAIL,CATASTROPHIC
T2_R2,"{""threshold"":0.7,""rsi_policy"":""exclude 38–42""}",2023_2024,0.7,R2,632,117,106,44,0.060191518467852256,0.056164383561643834,,17,27,0.3181818181818182,0.38636363636363635,1.3390682322737923,-1.0477798356746835,1.2780053468117596,0.4389805324204245,-0.052616896056788154,0.8046700331777746,-0.12558853669459047,-5.525895614561981,-10.3017084468405,14,26,4,44,0,FAIL,0.7264499988588412,-0.18650533416226314,-8.206234703139579,FAIL,CATASTROPHIC
T2_R2,"{""threshold"":0.7,""rsi_policy"":""exclude 38–42""}",pooled,0.7,R2,40345,3793,2391,908,0.3551036370746969,0.056164383561643834,3.8042328042328037,280,628,0.21916299559471367,0.30837004405286345,1.1252080862617004,-0.9864586993320349,1.1406540253774613,0.46714695048569094,-0.1587769064328275,0.5085718584485497,-0.33528391963352633,-304.4377990272419,-307.76279420931536,199,560,149,565,343,FAIL,0.45574649425238717,-0.3932921697803289,-357.10929016053865,FAIL,"QUALITY_FAIL:PF<=1;Mean-R<=0;PnL<=0;BE-edge<=0;WR<60%;PF<=1.05;stress-PF<=1;catastrophic-fold=2018_2020,2021_2022,2023_2024"
T2_R3,"{""threshold"":0.7,""rsi_policy"":""exclude 40–45""}",2018_2020,0.7,R3,39402,3564,2108,817,0.7454379562043796,0.056164383561643834,3.322751322751323,250,567,0.2178702570379437,0.30599755201958384,1.1063706746800472,-0.9760776000812694,1.1334863893894598,0.4687163719315642,-0.16271881991198034,0.4997735402951763,-0.3388535257969008,-276.84333057606796,-276.8433305760679,178,499,140,481,336,FAIL,0.4474643110008821,-0.3965465128259115,-323.9785009787697,FAIL,CATASTROPHIC
T2_R3,"{""threshold"":0.7,""rsi_policy"":""exclude 40–45""}",2021_2022,0.7,R3,311,112,86,41,0.056164383561643834,0.056164383561643834,,10,31,0.24390243902439024,0.24390243902439024,1.5388092636653048,-1.0419666764157351,1.4768315518099486,0.4037416267849335,-0.1598391877605433,0.4763972747774028,-0.4125091300545062,-16.912874332234754,-22.89571746948964,10,30,1,41,0,FAIL,0.4323212298906605,-0.47342807505037393,-19.410551077065332,FAIL,CATASTROPHIC
T2_R3,"{""threshold"":0.7,""rsi_policy"":""exclude 40–45""}",2023_2024,0.7,R3,632,117,96,44,0.060191518467852256,0.056164383561643834,,18,26,0.36363636363636365,0.4090909090909091,1.347466248997428,-1.0472433526213356,1.2866792093973287,0.4373153855120576,-0.028224476421148503,0.8907779141981507,-0.06758942468638678,-2.973934686201018,-8.45659853603431,16,25,3,44,0,FAIL,0.8053106823843487,-0.12776740120047986,-5.6217656528211135,FAIL,CATASTROPHIC
T2_R3,"{""threshold"":0.7,""rsi_policy"":""exclude 40–45""}",pooled,0.7,R3,40345,3793,2290,902,0.35275713727023855,0.056164383561643834,3.772486772486772,278,624,0.2261640798226164,0.3082039911308204,1.137536524419491,-0.9823161752934652,1.1580146525426542,0.46338888330612693,-0.1551848921753065,0.5159103740494517,-0.32896911263248746,-296.73013959450367,-300.7619857941323,204,554,144,566,336,FAIL,0.46257822794530196,-0.38692995311380946,-349.01081770865613,FAIL,"QUALITY_FAIL:PF<=1;Mean-R<=0;PnL<=0;BE-edge<=0;WR<60%;PF<=1.05;stress-PF<=1;catastrophic-fold=2018_2020,2021_2022,2023_2024"
T3_R0,"{""threshold"":0.67,""rsi_policy"":""exclude 35–45""}",2018_2020,0.67,R0,76302,5034,2268,992,0.9051094890510949,0.19288645690834474,4.248677248677248,324,668,0.25100806451612906,0.32661290322580644,1.1460684932211143,-0.9696140119773385,1.1819842525624513,0.458298449599548,-0.13168554637374158,0.5732977512428656,-0.2786048066504245,-276.3759681972211,-283.3270603131601,249,587,156,622,370,FAIL,0.5148556187700647,-0.33578463243877604,-333.09835537926585,FAIL,CATASTROPHIC
T3_R0,"{""threshold"":0.67,""rsi_policy"":""exclude 35–45""}",2021_2022,0.67,R0,2835,550,336,160,0.2191780821917808,0.19288645690834474,,43,117,0.225,0.26875,1.3066849914273007,-1.0374286087672568,1.259542083555988,0.44256754821146554,-0.17381754821146556,0.4629086289992093,-0.4074480787149695,-65.19169259439512,-68.32808112621986,36,113,11,160,0,FAIL,0.4175289726613366,-0.4676809756902047,-74.82895611043276,FAIL,CATASTROPHIC
T3_R0,"{""threshold"":0.67,""rsi_policy"":""exclude 35–45""}",2023_2024,0.67,R0,3397,393,271,141,0.19288645690834474,0.19288645690834474,,56,85,0.36879432624113473,0.3971631205673759,1.3440835599001437,-1.0357009429151598,1.2977525694984766,0.4352078693217463,-0.03804474875437042,0.8549899281401728,-0.09053830349915262,-12.76590079338052,-26.048284553202397,52,81,8,141,0,FAIL,0.7773838752554847,-0.14689941473427362,-20.71281747753258,FAIL,CATASTROPHIC
