report_date,availability_time_utc,COT_MM_NET_PCT_OI,COT_MM_NET_CHG_1W,COT_PROD_NET_PCT_OI,COT_SWAP_NET_PCT_OI,COT_MM_VS_PROD_SPREAD
2017-02-07,2017-02-11 05:00:00+00:00,0.16881285450603187,-0.0064663015879663777,-0.22434020065312132,-0.098480782975528411,0.39315305515915322
2017-02-14,2017-02-18 05:00:00+00:00,0.15326598061320845,-0.015546873892823415,-0.22265421749436318,-0.085173729548476615,0.3759201981075716
2017-02-21,2017-02-25 05:00:00+00:00,0.18269626938347441,0.029430288770265961,-0.22419516443179263,-0.10252406547306914,0.40689143381526705
2017-02-28,2017-03-04 05:00:00+00:00,0.25611043734209704,0.073414167958622628,-0.24064911977869491,-0.16265655788971062,0.49675955712079195
2017-03-07,2017-03-11 05:00:00+00:00,0.20775044256343794,-0.048359994778659099,-0.22528263056484676,-0.12611619218187803,0.43303307312828471
2017-03-14,2017-03-18 04:00:00+00:00,0.10881573081164793,-0.098934711751790014,-0.20740549545955839,-0.081885163197784924,0.3162212262712063
2017-03-21,2017-03-25 04:00:00+00:00,0.12574964196204796,0.016933911150400036,-0.220452918009309,-0.068208467597565339,0.34620255997135696
2017-03-28,2017-04-01 04:00:00+00:00,0.2025797809611542,0.076830138999106234,-0.25287371667356445,-0.085595147501880214,0.45545349763471865
2017-04-04,2017-04-08 04:00:00+00:00,0.25508171890193732,0.052501937940783117,-0.28722464283042859,-0.11252477747026704,0.5423063617323659
2017-04-11,2017-04-15 04:00:00+00:00,0.29160701640537479,0.036525297503437471,-0.29737948089474298,-0.1133884783099592,0.58898649730011776
2017-04-18,2017-04-22 04:00:00+00:00,0.32023681719719732,0.028629800791822535,-0.31715378930807619,-0.12976667661874844,0.63739060650527346
2017-04-25,2017-04-29 04:00:00+00:00,0.33694339107324811,0.01670657387605079,-0.31865289872580016,-0.13215962687899829,0.65559628979904827
2017-05-02,2017-05-06 04:00:00+00:00,0.31091025210811746,-0.026033138965130653,-0.33187776707331595,-0.10974118054578322,0.64278801918143347
2017-05-09,2017-05-13 04:00:00+00:00,0.22160435809741982,-0.089305894010697634,-0.31865007978606713,-0.061048465128523695,0.54025443788348693
2017-05-16,2017-05-20 04:00:00+00:00,0.15141338004372204,-0.070190978053697783,-0.29559262656285556,-0.032803014107364935,0.44700600660657763
