start_utc,end_utc,exact_rows
2017-06-26T00:05:00+00:00,2017-06-26T00:05:00+00:00,1
2017-06-26T00:15:00+00:00,2017-06-26T00:15:00+00:00,1
2017-06-26T01:00:00+00:00,2017-06-26T01:00:00+00:00,1
2017-07-03T00:00:00+00:00,2017-07-03T00:01:00+00:00,2
2017-07-03T00:05:00+00:00,2017-07-03T00:05:00+00:00,1
2017-07-03T00:15:00+00:00,2017-07-03T00:15:00+00:00,1
2017-07-03T01:00:00+00:00,2017-07-03T01:00:00+00:00,1
2017-07-10T00:00:00+00:00,2017-07-10T00:01:00+00:00,2
2017-07-10T00:05:00+00:00,2017-07-10T00:05:00+00:00,1
2017-07-10T00:15:00+00:00,2017-07-10T00:15:00+00:00,1
2017-07-10T01:00:00+00:00,2017-07-10T01:00:00+00:00,1
2017-07-17T00:00:00+00:00,2017-07-17T00:01:00+00:00,2
2017-07-17T00:05:00+00:00,2017-07-17T00:05:00+00:00,1
2017-07-17T00:15:00+00:00,2017-07-17T00:15:00+00:00,1
2017-07-17T01:00:00+00:00,2017-07-17T01:00:00+00:00,1
2017-07-24T00:00:00+00:00,2017-07-24T00:01:00+00:00,2
2017-07-24T00:05:00+00:00,2017-07-24T00:05:00+00:00,1
2017-07-24T00:15:00+00:00,2017-07-24T00:15:00+00:00,1
2017-07-24T01:00:00+00:00,2017-07-24T01:00:00+00:00,1
2017-07-31T00:00:00+00:00,2017-07-31T00:01:00+00:00,2
2017-07-31T00:05:00+00:00,2017-07-31T00:05:00+00:00,1
2017-07-31T00:15:00+00:00,2017-07-31T00:15:00+00:00,1
2017-07-31T01:00:00+00:00,2017-07-31T01:00:00+00:00,1
2017-08-07T00:00:00+00:00,2017-08-07T00:01:00+00:00,2
2017-08-07T00:05:00+00:00,2017-08-07T00:05:00+00:00,1
2017-08-07T00:15:00+00:00,2017-08-07T00:15:00+00:00,1
2017-08-07T01:00:00+00:00,2017-08-07T01:00:00+00:00,1
2017-08-14T00:00:00+00:00,2017-08-14T00:01:00+00:00,2
2017-08-14T00:05:00+00:00,2017-08-14T00:05:00+00:00,1
2017-08-14T00:15:00+00:00,2017-08-14T00:15:00+00:00,1
2017-08-14T01:00:00+00:00,2017-08-14T01:00:00+00:00,1
2017-08-21T00:00:00+00:00,2017-08-21T00:01:00+00:00,2
2017-08-21T00:05:00+00:00,2017-08-21T00:05:00+00:00,1
2017-08-21T00:15:00+00:00,2017-08-21T00:15:00+00:00,1
2017-08-21T01:00:00+00:00,2017-08-21T01:00:00+00:00,1
2017-08-28T00:00:00+00:00,2017-08-28T00:01:00+00:00,2
2017-08-28T00:05:00+00:00,2017-08-28T00:05:00+00:00,1
2017-08-28T00:15:00+00:00,2017-08-28T00:15:00+00:00,1
2017-08-28T01:00:00+00:00,2017-08-28T01:00:00+00:00,1
2017-09-04T00:00:00+00:00,2017-09-04T00:01:00+00:00,2
2017-09-04T00:05:00+00:00,2017-09-04T00:05:00+00:00,1
2017-09-04T00:15:00+00:00,2017-09-04T00:15:00+00:00,1
2017-09-04T01:00:00+00:00,2017-09-04T01:00:00+00:00,1
2017-09-11T00:00:00+00:00,2017-09-11T00:01:00+00:00,2
2017-09-11T00:05:00+00:00,2017-09-11T00:05:00+00:00,1
2017-09-11T00:15:00+00:00,2017-09-11T00:15:00+00:00,1
2017-09-11T01:00:00+00:00,2017-09-11T01:00:00+00:00,1
2017-09-18T00:00:00+00:00,2017-09-18T00:01:00+00:00,2
2017-09-18T00:05:00+00:00,2017-09-18T00:05:00+00:00,1
2017-09-18T00:15:00+00:00,2017-09-18T00:15:00+00:00,1
2017-09-18T01:00:00+00:00,2017-09-18T01:00:00+00:00,1
2017-09-25T00:00:00+00:00,2017-09-25T00:01:00+00:00,2
2017-09-25T00:05:00+00:00,2017-09-25T00:05:00+00:00,1
2017-09-25T00:15:00+00:00,2017-09-25T00:15:00+00:00,1
2017-09-25T01:00:00+00:00,2017-09-25T01:00:00+00:00,1
2017-10-02T00:00:00+00:00,2017-10-02T00:01:00+00:00,2
2017-10-02T00:05:00+00:00,2017-10-02T00:05:00+00:00,1
2017-10-02T00:15:00+00:00,2017-10-02T00:15:00+00:00,1
2017-10-02T01:00:00+00:00,2017-10-02T01:00:00+00:00,1
2017-10-09T00:00:00+00:00,2017-10-09T00:01:00+00:00,2
2017-10-09T00:05:00+00:00,2017-10-09T00:05:00+00:00,1
2017-10-09T00:15:00+00:00,2017-10-09T00:15:00+00:00,1
2017-10-09T01:00:00+00:00,2017-10-09T01:00:00+00:00,1
2017-10-16T00:00:00+00:00,2017-10-16T00:01:00+00:00,2
2017-10-16T00:05:00+00:00,2017-10-16T00:05:00+00:00,1
2017-10-16T00:15:00+00:00,2017-10-16T00:15:00+00:00,1
2017-10-16T01:00:00+00:00,2017-10-16T01:00:00+00:00,1
2017-10-23T00:00:00+00:00,2017-10-23T00:01:00+00:00,2
2017-10-23T00:05:00+00:00,2017-10-23T00:05:00+00:00,1
2017-10-23T00:15:00+00:00,2017-10-23T00:15:00+00:00,1
2017-10-23T01:00:00+00:00,2017-10-23T01:00:00+00:00,1
2017-10-29T23:00:00+00:00,2017-10-29T23:01:00+00:00,2
2017-10-29T23:05:00+00:00,2017-10-29T23:05:00+00:00,1
2017-10-29T23:15:00+00:00,2017-10-29T23:15:00+00:00,1
2017-10-30T00:00:00+00:00,2017-10-30T00:00:00+00:00,1
2017-11-06T00:00:00+00:00,2017-11-06T00:01:00+00:00,2
2017-11-06T00:05:00+00:00,2017-11-06T00:05:00+00:00,1
2017-11-06T00:15:00+00:00,2017-11-06T00:15:00+00:00,1
2017-11-06T01:00:00+00:00,2017-11-06T01:00:00+00:00,1
2017-11-13T00:00:00+00:00,2017-11-13T00:01:00+00:00,2
2017-11-13T00:05:00+00:00,2017-11-13T00:05:00+00:00,1
2017-11-13T00:15:00+00:00,2017-11-13T00:15:00+00:00,1
2017-11-13T01:00:00+00:00,2017-11-13T01:00:00+00:00,1
2017-11-20T00:00:00+00:00,2017-11-20T00:01:00+00:00,2
2017-11-20T00:05:00+00:00,2017-11-20T00:05:00+00:00,1
2017-11-20T00:15:00+00:00,2017-11-20T00:15:00+00:00,1
2017-11-20T01:00:00+00:00,2017-11-20T01:00:00+00:00,1
2017-11-27T00:00:00+00:00,2017-11-27T00:01:00+00:00,2
2017-11-27T00:05:00+00:00,2017-11-27T00:05:00+00:00,1
2017-11-27T00:15:00+00:00,2017-11-27T00:15:00+00:00,1
2017-11-27T01:00:00+00:00,2017-11-27T01:00:00+00:00,1
2017-12-04T00:00:00+00:00,2017-12-04T00:01:00+00:00,2
2017-12-04T00:05:00+00:00,2017-12-04T00:05:00+00:00,1
2017-12-04T00:15:00+00:00,2017-12-04T00:15:00+00:00,1
2017-12-04T01:00:00+00:00,2017-12-04T01:00:00+00:00,1
2017-12-11T00:00:00+00:00,2017-12-11T00:01:00+00:00,2
2017-12-11T00:05:00+00:00,2017-12-11T00:05:00+00:00,1
2017-12-11T00:15:00+00:00,2017-12-11T00:15:00+00:00,1
2017-12-11T01:00:00+00:00,2017-12-11T01:00:00+00:00,1
2017-12-18T00:00:00+00:00,2017-12-18T00:01:00+00:00,2
2017-12-18T00:05:00+00:00,2017-12-18T00:05:00+00:00,1
2017-12-18T00:15:00+00:00,2017-12-18T00:15:00+00:00,1
2017-12-18T01:00:00+00:00,2017-12-18T01:00:00+00:00,1
2017-12-26T09:05:00+00:00,2017-12-26T09:06:00+00:00,2
2017-12-26T09:10:00+00:00,2017-12-26T09:10:00+00:00,1
2017-12-26T09:20:00+00:00,2017-12-26T09:20:00+00:00,1
2017-12-26T10:05:00+00:00,2017-12-26T10:05:00+00:00,1
2018-01-02T09:05:00+00:00,2018-01-02T09:06:00+00:00,2
2018-01-02T09:10:00+00:00,2018-01-02T09:10:00+00:00,1
2018-01-02T09:20:00+00:00,2018-01-02T09:20:00+00:00,1
2018-01-02T10:05:00+00:00,2018-01-02T10:05:00+00:00,1
2018-01-08T00:00:00+00:00,2018-01-08T00:01:00+00:00,2
2018-01-08T00:05:00+00:00,2018-01-08T00:05:00+00:00,1
2018-01-08T00:15:00+00:00,2018-01-08T00:15:00+00:00,1
2018-01-08T01:00:00+00:00,2018-01-08T01:00:00+00:00,1
2018-01-15T00:00:00+00:00,2018-01-15T00:01:00+00:00,2
2018-01-15T00:05:00+00:00,2018-01-15T00:05:00+00:00,1
2018-01-15T00:15:00+00:00,2018-01-15T00:15:00+00:00,1
2018-01-15T01:00:00+00:00,2018-01-15T01:00:00+00:00,1
2018-01-22T00:00:00+00:00,2018-01-22T00:01:00+00:00,2
2018-01-22T00:05:00+00:00,2018-01-22T00:05:00+00:00,1
2018-01-22T00:15:00+00:00,2018-01-22T00:15:00+00:00,1
2018-01-22T01:00:00+00:00,2018-01-22T01:00:00+00:00,1
2018-01-29T00:00:00+00:00,2018-01-29T00:01:00+00:00,2
2018-01-29T00:05:00+00:00,2018-01-29T00:05:00+00:00,1
2018-01-29T00:15:00+00:00,2018-01-29T00:15:00+00:00,1
2018-01-29T01:00:00+00:00,2018-01-29T01:00:00+00:00,1
2018-02-05T00:00:00+00:00,2018-02-05T00:01:00+00:00,2
2018-02-05T00:05:00+00:00,2018-02-05T00:05:00+00:00,1
2018-02-05T00:15:00+00:00,2018-02-05T00:15:00+00:00,1
2018-02-05T01:00:00+00:00,2018-02-05T01:00:00+00:00,1
2018-02-07T00:16:00+00:00,2018-02-07T00:17:00+00:00,2
2018-02-07T00:21:00+00:00,2018-02-07T00:21:00+00:00,1
2018-02-07T00:31:00+00:00,2018-02-07T00:31:00+00:00,1
2018-02-07T01:16:00+00:00,2018-02-07T01:16:00+00:00,1
2018-02-12T00:00:00+00:00,2018-02-12T00:01:00+00:00,2
2018-02-12T00:05:00+00:00,2018-02-12T00:05:00+00:00,1
2018-02-12T00:15:00+00:00,2018-02-12T00:15:00+00:00,1
2018-02-12T01:00:00+00:00,2018-02-12T01:00:00+00:00,1
2018-02-19T00:00:00+00:00,2018-02-19T00:01:00+00:00,2
2018-02-19T00:05:00+00:00,2018-02-19T00:05:00+00:00,1
2018-02-19T00:15:00+00:00,2018-02-19T00:15:00+00:00,1
2018-02-19T01:00:00+00:00,2018-02-19T01:00:00+00:00,1
2018-02-26T00:00:00+00:00,2018-02-26T00:01:00+00:00,2
2018-02-26T00:05:00+00:00,2018-02-26T00:05:00+00:00,1
2018-02-26T00:15:00+00:00,2018-02-26T00:15:00+00:00,1
2018-02-26T01:00:00+00:00,2018-02-26T01:00:00+00:00,1
2018-03-05T00:00:00+00:00,2018-03-05T00:01:00+00:00,2
2018-03-05T00:05:00+00:00,2018-03-05T00:05:00+00:00,1
2018-03-05T00:15:00+00:00,2018-03-05T00:15:00+00:00,1
2018-03-05T01:00:00+00:00,2018-03-05T01:00:00+00:00,1
2018-03-11T23:00:00+00:00,2018-03-11T23:01:00+00:00,2
2018-03-11T23:05:00+00:00,2018-03-11T23:05:00+00:00,1
2018-03-11T23:15:00+00:00,2018-03-11T23:15:00+00:00,1
2018-03-12T00:00:00+00:00,2018-03-12T00:00:00+00:00,1
2018-03-18T23:00:00+00:00,2018-03-18T23:01:00+00:00,2
2018-03-18T23:05:00+00:00,2018-03-18T23:05:00+00:00,1
2018-03-18T23:15:00+00:00,2018-03-18T23:15:00+00:00,1
2018-03-19T00:00:00+00:00,2018-03-19T00:00:00+00:00,1
2018-03-26T00:00:00+00:00,2018-03-26T00:01:00+00:00,2
2018-03-26T00:05:00+00:00,2018-03-26T00:05:00+00:00,1
2018-03-26T00:15:00+00:00,2018-03-26T00:15:00+00:00,1
2018-03-26T01:00:00+00:00,2018-03-26T01:00:00+00:00,1
2018-04-02T00:00:00+00:00,2018-04-02T00:01:00+00:00,2
2018-04-02T00:05:00+00:00,2018-04-02T00:05:00+00:00,1
