report_date,contract_code,contract_name,source_year,open_interest,producer_long,producer_short,swap_long,swap_short,managed_money_long,managed_money_short,COT_MM_NET_PCT_OI,COT_MM_NET_CHG_1W,COT_PROD_NET_PCT_OI,COT_SWAP_NET_PCT_OI,COT_MM_VS_PROD_SPREAD,availability_time_utc
2018-05-08,088691,GOLD - COMMODITY EXCHANGE INC.,2018,491398,34195,182428,121849,108600,109508,67869,0.084735794610478671,0.0073029331573397638,-0.30165568439431989,0.026961851696588102,0.38639147900479853,2018-05-12 04:00:00+00:00
2018-05-15,088691,GOLD - COMMODITY EXCHANGE INC.,2018,519958,35688,175548,121526,99755,103256,84258,0.036537566495755423,-0.048198228114723247,-0.26898326403286421,0.041870689555694882,0.30552083052861961,2018-05-19 04:00:00+00:00
2018-05-22,088691,GOLD - COMMODITY EXCHANGE INC.,2018,502942,37972,167276,118596,104867,91411,74880,0.032868601150828528,-0.0036689653449268958,-0.25709525153993901,0.027297382203116862,0.28996385269076752,2018-05-26 04:00:00+00:00
2018-05-29,088691,GOLD - COMMODITY EXCHANGE INC.,2018,469382,33583,170958,114188,113502,107882,53881,0.11504701927214933,0.082178418121320804,-0.29267206667490447,0.0014614961800835994,0.40771908594705381,2018-06-02 04:00:00+00:00
2018-06-05,088691,GOLD - COMMODITY EXCHANGE INC.,2018,450641,42172,140296,97169,133392,100027,49147,0.1129058385721672,-0.0021411806999821342,-0.21774317028410642,-0.080381057205181058,0.33064900885627363,2018-06-09 04:00:00+00:00
2018-06-12,088691,GOLD - COMMODITY EXCHANGE INC.,2018,448695,43227,138843,93548,138519,104313,48809,0.12370095499169814,0.010795116419530945,-0.21309798415404674,-0.10022621156910597,0.33679893914574488,2018-06-16 04:00:00+00:00
2018-06-19,088691,GOLD - COMMODITY EXCHANGE INC.,2018,468345,45041,116231,95221,138155,94297,83769,0.022479155323532864,-0.10122179966816527,-0.15200333087787848,-0.091671737714718857,0.17448248620141135,2018-06-23 04:00:00+00:00
2018-06-26,088691,GOLD - COMMODITY EXCHANGE INC.,2018,468573,45108,116919,101135,124287,94845,94869,-5.1219340422943705e-05,-0.022530374663955809,-0.15325466896300044,-0.049409590394666358,0.15320344962257751,2018-06-30 04:00:00+00:00
2018-07-03,088691,GOLD - COMMODITY EXCHANGE INC.,2018,494164,40794,112038,96505,118411,104275,105529,-0.0025376190900186983,-0.0024863997495957546,-0.14417076112383742,-0.044329412907455824,0.14163314203381872,2018-07-07 04:00:00+00:00
2018-07-10,088691,GOLD - COMMODITY EXCHANGE INC.,2018,503593,34107,103749,92406,123158,107402,109929,-0.005017941075431946,-0.0024803219854132477,-0.13829024629015893,-0.061065185576447648,0.13327230521472699,2018-07-14 04:00:00+00:00
2018-07-17,088691,GOLD - COMMODITY EXCHANGE INC.,2018,528278,29729,101723,102289,103930,107775,134224,-0.050066442289854962,-0.045048501214423019,-0.13628051896917912,-0.003106319021424326,0.086214076679324153,2018-07-21 04:00:00+00:00
2018-07-24,088691,GOLD - COMMODITY EXCHANGE INC.,2018,496620,27066,84366,96946,105314,110249,146671,-0.073339776891788486,-0.023273334601933524,-0.11537996858765254,-0.016849905360235191,0.042040191695864051,2018-07-28 04:00:00+00:00
2018-07-31,088691,GOLD - COMMODITY EXCHANGE INC.,2018,452655,26485,79249,96716,91870,110580,153108,-0.093952347814560758,-0.020612570922772272,-0.11656559631507439,0.010705725110735548,0.022613248500513633,2018-08-04 04:00:00+00:00
2018-08-07,088691,GOLD - COMMODITY EXCHANGE INC.,2018,459474,24692,72357,105342,83286,105849,171965,-0.14389497555900879,-0.049942627744448034,-0.10373818757971072,0.048002716149335982,-0.040156787979298073,2018-08-11 04:00:00+00:00
2018-08-14,088691,GOLD - COMMODITY EXCHANGE INC.,2018,476739,27574,66183,109688,78429,104803,188127,-0.1747790719869782,-0.03088409642796941,-0.080985612672762247,0.065568371792532179,-0.093793459314215955,2018-08-18 04:00:00+00:00
2018-08-21,088691,GOLD - COMMODITY EXCHANGE INC.,2018,483730,26516,63915,109023,73309,107143,197171,-0.18611208732143963,-0.011333015334461433,-0.077313790751038808,0.073830442602278126,-0.10879829657040083,2018-08-25 04:00:00+00:00
2018-08-28,088691,GOLD - COMMODITY EXCHANGE INC.,2018,479283,26507,67699,108361,75431,105971,181743,-0.15809448697324963,0.028017600348190008,-0.085945047080743533,0.068706797445350659,-0.072149439892506093,2018-09-01 04:00:00+00:00
2018-09-04,088691,GOLD - COMMODITY EXCHANGE INC.,2018,473118,27115,65731,111868,66727,101651,184373,-0.1748443305898317,-0.016749843616582077,-0.081620230048317755,0.095411715470559141,-0.093224100541513949,2018-09-08 04:00:00+00:00
2018-09-11,088691,GOLD - COMMODITY EXCHANGE INC.,2018,469450,28256,68613,111917,71547,100593,175812,-0.16022792629673022,0.014616404293101487,-0.085966556608797526,0.085994248588774094,-0.074261369687932691,2018-09-15 04:00:00+00:00
2018-09-18,088691,GOLD - COMMODITY EXCHANGE INC.,2018,469436,29357,68328,111685,71023,97904,180367,-0.17566398827529206,-0.015436061978561844,-0.083016641246091052,0.086618836220485856,-0.092647347029201008,2018-09-22 04:00:00+00:00
2018-09-25,088691,GOLD - COMMODITY EXCHANGE INC.,2018,460279,27277,67802,110272,62667,98513,182190,-0.18179625835634475,-0.0061322700810526876,-0.088044425229045861,0.10342640007473727,-0.093751833127298886,2018-09-29 04:00:00+00:00
2018-10-02,088691,GOLD - COMMODITY EXCHANGE INC.,2018,459776,31567,70177,108806,61321,100671,180274,-0.17313430888084633,0.0086619494754984205,-0.083975675111358575,0.10327855303452116,-0.089158633769487752,2018-10-06 04:00:00+00:00
2018-10-09,088691,GOLD - COMMODITY EXCHANGE INC.,2018,465253,35501,69634,111386,51387,82218,191672,-0.23525694622065843,-0.062122637339812103,-0.073364384539164718,0.12895994222498297,-0.16189256168149371,2018-10-13 04:00:00+00:00
2018-10-16,088691,GOLD - COMMODITY EXCHANGE INC.,2018,474418,36197,98154,105647,75686,95333,144715,-0.10408964246719138,0.13116730375346705,-0.13059580370053414,0.063153168724626813,0.026506161233342762,2018-10-20 04:00:00+00:00
2018-10-23,088691,GOLD - COMMODITY EXCHANGE INC.,2018,477832,34663,102587,102239,80835,99368,137484,-0.079768621607594306,0.024321020859597073,-0.14215037921277771,0.044793986170871769,0.062381757605183399,2018-10-27 04:00:00+00:00
2018-10-30,088691,GOLD - COMMODITY EXCHANGE INC.,2018,474941,36057,97111,102321,72472,80105,135628,-0.11690504715322535,-0.037136425545631041,-0.12855070419273132,0.062847806359105654,0.011645657039505972,2018-11-03 04:00:00+00:00
2018-11-06,088691,GOLD - COMMODITY EXCHANGE INC.,2018,494911,37023,99334,99126,74951,82188,129634,-0.095867741876822302,0.021037305276403045,-0.12590344526591649,0.048847166460232246,0.030035703389094184,2018-11-10 05:00:00+00:00
2018-11-13,088691,GOLD - COMMODITY EXCHANGE INC.,2018,539520,47551,89514,105368,65228,79529,158723,-0.14678603202846974,-0.050918290151647436,-0.077778395610913403,0.074399466192170818,-0.069007636417556334,2018-11-17 05:00:00+00:00
2018-11-20,088691,GOLD - COMMODITY EXCHANGE INC.,2018,525940,47454,93564,101125,78155,84356,136207,-0.098587291326006771,0.048198740702462967,-0.087671597520629724,0.043674183366923983,-0.010915693805377047,2018-11-24 05:00:00+00:00
2018-11-27,088691,GOLD - COMMODITY EXCHANGE INC.,2018,442801,35196,76210,101201,76287,79992,138382,-0.13186510418901493,-0.033277812863008155,-0.09262400039746975,0.05626455224807532,-0.039241103791545176,2018-12-01 05:00:00+00:00
2018-12-04,088691,GOLD - COMMODITY EXCHANGE INC.,2018,399919,19212,74759,92265,94967,99414,109201,-0.024472455672273637,0.1073926485167413,-0.13889562636433878,-0.0067563681645533219,0.11442317069206515,2018-12-08 05:00:00+00:00
2018-12-11,088691,GOLD - COMMODITY EXCHANGE INC.,2018,402250,18936,83116,95532,108720,89942,90008,-0.00016407706650093225,0.024308378605772705,-0.15955251709136109,-0.03278558110627719,0.15938844002486016,2018-12-15 05:00:00+00:00
2018-12-18,088691,GOLD - COMMODITY EXCHANGE INC.,2018,412485,18531,78969,93951,126188,100828,89630,0.027147653854079544,0.027311730920580476,-0.14652169169787993,-0.078153144962847129,0.17366934555195948,2018-12-22 05:00:00+00:00
2018-12-24,088691,GOLD - COMMODITY EXCHANGE INC.,2018,442727,20170,86065,90994,153318,119146,77178,0.09479430890819851,0.067646655054118959,-0.14883890072211545,-0.14077298199567678,0.24363320963031396,2018-12-28 05:00:00+00:00
2018-12-31,088691,GOLD - COMMODITY EXCHANGE INC.,2018,451360,19300,92197,91520,163237,121205,71021,0.11118397731300957,0.016389668404811056,-0.16150522864232542,-0.15889090747961715,0.27268920595533497,2019-01-04 05:00:00+00:00
2019-01-08,088691,GOLD - COMMODITY EXCHANGE INC.,2019,455232,12969,75020,95600,154736,112690,80219,0.071328465485730352,-0.039855511827279214,-0.13630632292984676,-0.1299029945170814,0.20763478841557712,2019-01-12 05:00:00+00:00
2019-01-15,088691,GOLD - COMMODITY EXCHANGE INC.,2019,501605,43351,103302,99528,147690,115651,90716,0.049710429521236832,-0.02161803596449352,-0.11951834610899015,-0.096015789316294689,0.16922877563022698,2019-01-19 05:00:00+00:00
