cohort,simulator,entry_index,exit_index,entry_time_api,exit_time_api,entry_time_actual_utc,exit_time_actual_utc,raw_episode_id,entry_price,exit_price,tp_distance,sl_distance,exit_reason,same_bar_both_hit,gross_price,spread_points,spread_observed,extra_cost_points,gross_r,net_r,stress_r,risk_mult,risk_guard_reasons,risk_budget,account_pnl,balance_before,balance_after,positive,trade_id,episode_trade_ordinal,model_id,fold
PAIRED_C0_legacy_label,S5,1719763,1719853,2022-11-14T01:13:00,2022-11-14T02:43:00,2022-11-14T01:13:00,2022-11-14T02:43:00,2705,1762.89,1762.62,2.5786428571428552,3.1737142857142837,timeout,False,-0.2700000000002092,12.0,True,5.0,-0.08197432338660068,-0.13358778625960557,-0.1487682165163717,0.5,live_rolling_pf,0.9074814089298824,-0.12122843249069085,129.64020127569748,129.5189728432068,False,C0_legacy_label_S5_000755,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1731827,1731854,2022-11-24T18:26:00,2022-11-24T18:53:00,2022-11-24T18:26:00,2022-11-24T18:53:00,2706,1756.78,1756.18,1.5,0.6,stop_loss,False,-0.599999999999909,12.0,True,5.0,-0.833333333333207,-1.0694444444443183,-1.1388888888887625,0.5,live_rolling_pf,0.9066328099024475,-0.9695934217011143,129.5189728432068,128.54937942150568,False,C0_legacy_label_S5_000756,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1731881,1731889,2022-11-24T19:20:00,2022-11-24T19:28:00,2022-11-24T19:20:00,2022-11-24T19:28:00,2708,1756.39,1755.7900000000002,1.5,0.6,stop_loss,False,-0.599999999999909,13.0,True,5.0,-0.8219178082190535,-1.0684931506848068,-1.1369863013697383,0.5,live_post_loss_cap;live_rolling_pf,0.8998456559505398,-0.9614789200566289,128.54937942150568,127.58790050144904,False,C0_legacy_label_S5_000757,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1731904,1731950,2022-11-24T19:43:00,2022-11-24T20:29:00,2022-11-24T19:43:00,2022-11-24T20:29:00,2708,1755.1,1754.5,1.5,0.6,stop_loss,False,-0.599999999999909,17.0,True,5.0,-0.7792207792206611,-1.0649350649349467,-1.1298701298700118,0.5,live_post_loss_cap;live_rolling_pf,0.8931153035101433,-0.9511098037379692,127.58790050144904,126.63679069771108,False,C0_legacy_label_S5_000758,1,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1731968,1732007,2022-11-24T20:47:00,2022-11-25T01:00:00,2022-11-24T20:47:00,2022-11-25T01:00:00,2709,1754.41,1754.84,1.5,0.6,timeout,False,0.4299999999998363,18.0,True,5.0,0.5512820512818414,0.2564102564100465,0.19230769230748238,0.5,live_post_loss_cap;live_rolling_pf,0.8864575348839776,0.22729680381621845,126.63679069771108,126.8640875015273,True,C0_legacy_label_S5_000759,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1732068,1732069,2022-11-25T02:01:00,2022-11-25T02:02:00,2022-11-25T02:01:00,2022-11-25T02:02:00,2710,1755.01,1754.41,1.5,0.6,stop_loss,False,-0.599999999999909,19.0,True,5.0,-0.7594936708859608,-1.0632911392403912,-1.1265822784808974,0.5,live_rolling_pf,0.8880486125106911,-0.9442542208973415,126.8640875015273,125.91983328062996,False,C0_legacy_label_S5_000760,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1745704,1745717,2022-12-09T02:46:00,2022-12-09T02:59:00,2022-12-09T02:46:00,2022-12-09T02:59:00,2711,1788.64,1790.14,1.5,0.6,take_profit,False,1.5,13.0,True,5.0,2.0547945205479454,1.808219178082192,1.7397260273972603,0.5,live_rolling_pf,0.8814388329644097,1.5938346020726313,125.91983328062996,127.51366788270259,True,C0_legacy_label_S5_000761,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1757759,1757766,2022-12-21T19:51:00,2022-12-21T19:58:00,2022-12-21T19:51:00,2022-12-21T19:58:00,2714,1817.21,1816.6100000000001,1.5,0.6,stop_loss,False,-0.599999999999909,12.0,True,5.0,-0.833333333333207,-1.0694444444443183,-1.1388888888887625,0.5,live_rolling_pf,0.8925956751789181,-0.9545814859551193,127.51366788270259,126.55908639674747,False,C0_legacy_label_S5_000762,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1757998,1758007,2022-12-21T23:50:00,2022-12-22T01:00:00,2022-12-21T23:50:00,2022-12-22T01:00:00,2717,1814.09,1813.49,1.5,0.6,stop_loss,False,-0.599999999999909,23.0,True,5.0,-0.7228915662649507,-1.0602409638553123,-1.1204819277107338,0.5,live_rolling_pf,0.8859136047772324,-0.9392818942215471,126.55908639674747,125.61980450252592,False,C0_legacy_label_S5_000763,0,C0_legacy_label,2021_2022
PAIRED_C0_legacy_label,S5,1761771,1761808,2022-12-27T17:48:00,2022-12-27T18:25:00,2022-12-27T17:48:00,2022-12-27T18:25:00,2719,1824.96,1821.6937142857143,2.653857142857157,3.2662857142857322,stop_loss,False,-3.2662857142856865,12.0,True,5.0,-0.9645629429631996,-1.014765440431981,-1.0295308808639756,0.5,live_rolling_pf,0.8793386315176814,-0.8923224537008955,125.61980450252592,124.72748204882502,False,C0_legacy_label_S5_000764,0,C0_legacy_label,2021_2022
