match_type,c0_trade_id,c1_trade_id,c0_entry_time,c1_entry_time,entry_delta_minutes,c0_net_r,c1_net_r,outcome_sign_changed
C0_only_unmatched,C0_legacy_label_S5_000164,,2018-07-27T01:24:00,,,0.16666666666666666,,
C0_only_unmatched,C0_legacy_label_S5_000165,,2018-07-30T02:06:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000166,,2018-07-30T03:07:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000167,,2018-07-30T04:51:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000168,,2018-07-31T01:19:00,,,0.19999999999996967,,
C0_only_unmatched,C0_legacy_label_S5_000169,,2018-07-31T02:49:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000170,,2018-08-01T01:16:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000171,,2018-08-01T02:30:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000172,,2018-08-02T01:41:00,,,-0.2444444444445759,,
C0_only_unmatched,C0_legacy_label_S5_000173,,2018-08-03T01:22:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000174,,2018-08-03T03:42:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000175,,2018-08-03T08:02:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000176,,2018-08-03T20:45:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000177,,2018-08-03T23:14:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000178,,2018-08-06T01:25:00,,,0.7555555555555252,,
C0_only_unmatched,C0_legacy_label_S5_000179,,2018-08-06T03:01:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000180,,2018-08-06T03:43:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000181,,2018-08-07T01:23:00,,,0.19999999999996967,,
C0_only_unmatched,C0_legacy_label_S5_000182,,2018-08-07T02:55:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000183,,2018-08-07T03:46:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000184,,2018-08-08T01:24:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000185,,2018-08-08T02:39:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000186,,2018-08-08T03:31:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000187,,2018-08-08T03:55:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000188,,2018-08-08T04:50:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000189,,2018-08-09T01:01:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000190,,2018-08-09T02:02:00,,,0.6555555555556162,,
C0_only_unmatched,C0_legacy_label_S5_000191,,2018-08-10T01:15:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000192,,2018-08-10T01:56:00,,,0.9444444444444949,,
C0_only_unmatched,C0_legacy_label_S5_000193,,2018-08-10T03:52:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000194,,2018-08-13T04:07:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000195,,2018-08-14T03:10:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000196,,2018-08-15T01:29:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000197,,2018-08-15T03:02:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000198,,2018-08-15T03:41:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000199,,2018-08-15T04:14:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000201,,2018-08-17T02:08:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000202,,2018-08-21T01:01:00,,,0.41111111111114146,,
C0_only_unmatched,C0_legacy_label_S5_000203,,2018-08-21T02:31:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000204,,2018-08-21T03:31:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000205,,2018-08-21T03:58:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000206,,2018-08-21T04:35:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000207,,2018-08-22T01:21:00,,,-0.06666666666670713,,
C0_only_unmatched,C0_legacy_label_S5_000208,,2018-08-22T04:37:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000209,,2018-08-23T02:04:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000210,,2018-08-23T02:47:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000211,,2018-08-23T03:13:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000212,,2018-08-23T03:32:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000213,,2018-08-23T03:53:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000214,,2018-08-23T04:15:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000215,,2018-08-23T04:58:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000216,,2018-08-24T01:30:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000217,,2018-08-24T19:40:00,,,-1.0555555555554548,,
