model_id,fold,decile,observations,mean_probability,positive_rate,mean_r,pf
C1_execution_aligned_label,2018_2020,4,105808,0.48395183985230694,0.29170762135188266,-0.360085184503123,0.5004640618701142
C1_execution_aligned_label,2018_2020,5,105808,0.5026574165325256,0.29576213518826555,-0.3544660953930517,0.5049156515938757
C1_execution_aligned_label,2018_2020,6,105808,0.522238491522451,0.3005065779525178,-0.35246493715410954,0.505150420746494
C1_execution_aligned_label,2018_2020,7,105808,0.5454722085180972,0.31787766520489946,-0.320290735893854,0.5367500356377799
C1_execution_aligned_label,2018_2020,8,105808,0.5768208856913113,0.35007749886587025,-0.28267271264865856,0.5684562553768727
C1_execution_aligned_label,2018_2020,9,105808,0.6243125459447708,0.4182481475880841,-0.22988446614702518,0.6077508398136937
C1_execution_aligned_label,2018_2020,10,105808,0.6918782388458233,0.501795705428701,-0.17441439602567838,0.6453010376909852
C1_execution_aligned_label,2021_2022,1,70820,0.33986017171801636,0.27879130189212087,-0.3673289550704904,0.5105808784497726
C1_execution_aligned_label,2021_2022,2,70820,0.385442680945692,0.28991810223100817,-0.3366276093102225,0.5499450538232085
C1_execution_aligned_label,2021_2022,3,70820,0.4098669427034882,0.2924738774357526,-0.32419482454487814,0.5630267366091644
C1_execution_aligned_label,2021_2022,4,70819,0.4295886161215625,0.29629054349821377,-0.316902693808451,0.5701447905417523
C1_execution_aligned_label,2021_2022,5,70820,0.449352677106285,0.3050691894944931,-0.305920512866938,0.5798826035639919
C1_execution_aligned_label,2021_2022,6,70820,0.47387857515027176,0.3309517085569048,-0.2739409463665738,0.6079570147579447
C1_execution_aligned_label,2021_2022,7,70819,0.507263737582644,0.3574746889958909,-0.25631889026417204,0.6171907776748506
C1_execution_aligned_label,2021_2022,8,70820,0.545876312166646,0.40148263202485174,-0.21100417611768038,0.6605480226704409
C1_execution_aligned_label,2021_2022,9,70820,0.6017102683585298,0.46142332674385766,-0.17000297755975816,0.6941149368982723
C1_execution_aligned_label,2021_2022,10,70819,0.6691780841502557,0.5398410031206314,-0.10550631700084503,0.7757029002711064
C1_execution_aligned_label,2023_2024,1,70802,0.3608816645012219,0.28983644529815544,-0.31564699123850615,0.5662996307262529
C1_execution_aligned_label,2023_2024,2,70802,0.4063981351040941,0.30257619841247424,-0.265705407229427,0.6359048901874498
C1_execution_aligned_label,2023_2024,3,70802,0.4300246468247244,0.30935566791898533,-0.2524238896385224,0.6548353465852167
C1_execution_aligned_label,2023_2024,4,70802,0.4506971572342776,0.32141747408265303,-0.23225778482513462,0.676016249890749
C1_execution_aligned_label,2023_2024,5,70802,0.47395668656357076,0.3409225728086777,-0.21182611110801253,0.6952802541147245
C1_execution_aligned_label,2023_2024,6,70802,0.5037164545332636,0.3687325216801785,-0.1894498976096086,0.7141519945337754
C1_execution_aligned_label,2023_2024,7,70802,0.5429793735804294,0.40517217027767577,-0.16991841030657906,0.7269447783203978
C1_execution_aligned_label,2023_2024,8,70802,0.5818720354639485,0.43853280980763254,-0.15751210106669966,0.7306891357607374
C1_execution_aligned_label,2023_2024,9,70802,0.6383347543913181,0.49885596452077624,-0.1193989573606126,0.7684262185148015
C1_execution_aligned_label,2023_2024,10,70802,0.6993237956897448,0.5411287816728341,-0.09689217233707592,0.7931684171439239
C1_execution_aligned_label,pooled,1,247430,0.3402657827502062,0.278264559673443,-0.3651986865174341,0.49584388686763325
C1_execution_aligned_label,pooled,2,247430,0.40665714636192707,0.29524714060542373,-0.3137885563217095,0.572027994963274
C1_execution_aligned_label,pooled,3,247430,0.43443858652532485,0.30163682657721375,-0.30255184787145967,0.5844659640522423
C1_execution_aligned_label,pooled,4,247429,0.45840047076208085,0.3091553536570087,-0.2983542037058417,0.5838075127153507
C1_execution_aligned_label,pooled,5,247430,0.4824506759283417,0.3167158388231015,-0.29967593863445524,0.5747915251729221
C1_execution_aligned_label,pooled,6,247430,0.507450970513151,0.32397445742230124,-0.3011412909522624,0.5667671056045148
C1_execution_aligned_label,pooled,7,247429,0.535884697279673,0.3469075977351079,-0.27555184924969733,0.5890429655584878
C1_execution_aligned_label,pooled,8,247430,0.5711065266132161,0.38762074121973894,-0.2277803040784265,0.6366743317126641
C1_execution_aligned_label,pooled,9,247430,0.621780394745139,0.4524390736774037,-0.18228624610940486,0.6733911937721788
C1_execution_aligned_label,pooled,10,247429,0.6892403950206695,0.5230914727053013,-0.13362516057222326,0.7214634681339611
