url,path,acquisition_utc,status,http_status,bytes,sha256,final_url,error
https://www.bea.gov/news/2017/personal-income-and-outlays-august-2017,sources/5451fe50120f97106ff33d1c.html,2026-09-05T17:17:04.066202+00:00,ok,200,51419,8ef9fa8ca5cdc0d59970deb748c1224b0c05971497a8f6750840d5e63c5352c7,https://www.bea.gov/news/2017/personal-income-and-outlays-august-2017,
https://www.bea.gov/news/2017/personal-income-and-outlays-december-2016,sources/1153dd4cf609e227a0bda5bf.html,2026-09-05T17:17:05.016400+00:00,ok,200,51470,16cbb050a434dac7a36cb6ae1cc515950a2f7463b112ffbd2e692f9d8cf6a653,https://www.bea.gov/news/2017/personal-income-and-outlays-december-2016,
https://www.bea.gov/news/2017/personal-income-and-outlays-february-2017,sources/308f6349a08ccd99d4a91883.html,2026-09-05T17:17:05.446980+00:00,ok,200,51762,ba1bdcb64f3f43619e7f2969f6bbdaf669ac1908221d2474f039ab48a063ea12,https://www.bea.gov/news/2017/personal-income-and-outlays-february-2017,
https://www.bea.gov/news/2017/personal-income-and-outlays-january-2017,sources/b1fde346350079340a51eede.html,2026-09-05T17:17:05.459510+00:00,ok,200,52446,8863a26aa56515b665721d338df80220f586087108d69078e316042b5515d4d8,https://www.bea.gov/news/2017/personal-income-and-outlays-january-2017,
https://www.bea.gov/news/2017/personal-income-and-outlays-july-2017,sources/7e61ff4140a444feb48979aa.html,2026-09-05T17:17:05.719522+00:00,ok,200,51138,70de8011d30a6792c6d33fbb45268569a63e0d043384068e27ca34424fd03834,https://www.bea.gov/news/2017/personal-income-and-outlays-july-2017,
https://www.bea.gov/news/2017/personal-income-and-outlays-june-2017-annual-update-2014-through-may-2017,sources/8d5f7758a094ff2ee9ab43a2.html,2026-09-05T17:17:06.761799+00:00,ok,200,54381,35fe0f4f83ff96f6465c6444c2dcd2610bd3be07495ad1e0fc8995c12584b411,https://www.bea.gov/news/2017/personal-income-and-outlays-june-2017-annual-update-2014-through-may-2017,
https://www.bea.gov/news/2017/personal-income-and-outlays-march-2017,sources/5752f6ed52cece32cccc4809.html,2026-09-05T17:17:07.036284+00:00,ok,200,50505,a689d35f83900b4ed4de7a600ce365a543cbe0be73c02bb2e27002f6e7904469,https://www.bea.gov/news/2017/personal-income-and-outlays-march-2017,
https://www.bea.gov/news/2017/personal-income-and-outlays-may-2017,sources/e78a1985670f95380d8010cd.html,2026-09-05T17:17:07.074421+00:00,ok,200,50103,96e5f2fa2f578aca9b9d61080fa2cf018e6f21de8cf28847420e5e73334962d5,https://www.bea.gov/news/2017/personal-income-and-outlays-may-2017,
https://www.bea.gov/news/2017/personal-income-and-outlays-november-2017,sources/1c3c7d24f756600480121fdc.html,2026-09-05T17:17:07.299617+00:00,ok,200,51909,46bc40cdb043c268f89d2f57ef0cf6607855401babebc88acbe3e8b59a769a2b,https://www.bea.gov/news/2017/personal-income-and-outlays-november-2017,
https://www.bea.gov/news/2017/personal-income-and-outlays-october-2017,sources/58eb32d5365f3f13e5325156.html,2026-09-05T17:17:08.525013+00:00,ok,200,52674,f672d9228321022722be241e1432ecf5b9b6483130956f78e0bc24f78a6a0ee0,https://www.bea.gov/news/2017/personal-income-and-outlays-october-2017,
